source_center,destination_center,trip_count,median_actual_time,mean_actual_time,median_osrm_time,median_delay_ratio,mean_delay_ratio,std_delay_ratio,delay_pct,sla_breach_rate,chronic_delay_rate,median_distance,ftl_share,route_type_entropy,is_bottleneck_corridor,src_betweenness,dst_betweenness,src_pagerank,dst_pagerank,src_risk,dst_risk,src_community,dst_community,cross_community,corridor_risk,delay_pct_over_osrm,revenue_risk_proxy,corridor_label
IND212402AAA,IND211002AAB,65,1003.0,819.1076923076923,20.0,31.78787878787879,34.851052999079315,19.725079115560465,3078.787878787879,0.8,1.0,27.42914315045489,0.0,-1.4426951601859516e-10,True,0.0008060043492855,0.0088434257191645,0.0004624544248151,0.0028562121631972,0.3596302833067167,0.2482284429897205,1,1,0,0.3039293631482186,3078.787878787879,52.0,12402AAA → 11002AAB
IND208012AAA,IND209304AAA,33,465.0,369.3636363636364,15.0,27.2,22.183623911419964,19.839877918685485,2620.0,0.6060606060606061,0.9696969696969696,16.020357429474007,0.0,-1.4426951601859516e-10,True,0.0,0.0572664448239123,0.0003756859403864,0.0111358066055175,0.2934683091790362,0.3757694622956246,1,1,0,0.3346188857373304,2620.0,20.0,08012AAA → 09304AAA
IND416606AAA,IND416510AAA,50,1087.0,785.46,32.0,26.880917874396133,23.556107262598584,17.472494763113595,2588.0917874396137,0.8,1.0,29.04505775010153,0.0,-1.4426951601859516e-10,True,0.0,0.0016696586248668,0.0006384967144311,0.0007280047555062,0.3529274727092077,0.2953507001998749,5,5,0,0.3241390864545413,2588.091787439613,40.0,16606AAA → 16510AAA
IND425405AAA,IND424006AAA,18,1017.0,728.1111111111111,46.0,21.18558673469388,15.74896269283985,8.768345583480137,2018.558673469388,0.2222222222222222,1.0,55.97320960342723,1.0,-1.4426951601859516e-10,True,2.189237707430273e-06,0.0032778361574499,0.0003200541681064,0.0007228116390374,0.2133653104006128,0.2042064586386956,18,18,0,0.2087858845196541,2018.5586734693882,4.0,25405AAA → 24006AAA
IND743270AAA,IND712311AAA,5,1136.0,1133.6,73.0,15.35135135135135,15.364718720162122,0.3985217354849139,1435.135135135135,0.0,1.0,77.93856013120306,1.0,-1.4426951601859516e-10,True,0.0004031846111184,0.1077531853408643,0.0002867839652929,0.0140782831820626,0.0912474679042413,0.4946231001958118,0,0,0,0.2929352840500266,1435.135135135135,0.0,43270AAA → 12311AAA
IND722151AAA,IND723130AAA,10,986.5,755.5,69.5,14.207738095238096,10.9020274204266,6.597444200869892,1320.7738095238096,0.2,1.0,59.32059236413735,1.0,-1.4426951601859516e-10,True,0.0,0.0040329407300378,0.000411129365381,0.000831601614285,0.1659697053647164,0.1410789586375512,15,15,0,0.1535243320011338,1320.7738095238096,2.0,22151AAA → 23130AAA
IND208017AAA,IND209304AAA,13,134.0,158.30769230769232,12.0,12.181818181818182,12.099148496431106,8.24915424750335,1118.1818181818182,0.5384615384615384,1.0,12.022575373454078,0.0,-1.4426951601859516e-10,True,0.0,0.0572664448239123,0.0001128934352693,0.0111358066055175,0.1286780050111565,0.3757694622956246,1,1,0,0.2522237336533905,1118.1818181818182,7.0,08017AAA → 09304AAA
IND844505AAB,IND842001AAA,16,585.0,553.375,51.5,11.357466063348417,11.108327774189876,3.8079715735565984,1035.7466063348415,0.125,1.0,47.07902706858614,1.0,-1.4426951601859516e-10,True,0.0008060043492855,0.024700074434082,0.0004781047317496,0.0050999501325563,0.1418300841897866,0.2812413078187802,128,0,1,0.2115356960042834,1035.7466063348418,2.0,44505AAB → 42001AAA
IND221010AAB,IND233001AAA,8,425.5,398.375,43.5,10.491071428571429,8.89360645141895,3.9090684604573234,949.1071428571428,0.625,1.0,55.0406702166996,1.0,-1.4426951601859516e-10,True,0.0028675365237824,0.0020396397974225,0.00072796808949,0.0004668315498835,0.2220905718029,0.2227996931026399,22,22,0,0.22244513245277,949.1071428571429,5.0,21010AAB → 33001AAA
IND431131AAB,IND431603AAA,14,793.5,748.7142857142857,68.0,10.401964020465424,12.441279013542502,6.603388709013451,940.1964020465424,0.9285714285714286,1.0,67.76140835402053,0.0,-1.4426951601859516e-10,True,0.0,0.0048425938088357,0.0001128934352693,0.001612344220247,0.1677207664271892,0.2444057150374269,0,0,0,0.206063240732308,940.1964020465424,13.0,31131AAB → 31603AAA
